Trigger,SoundCard
0,-4.00E-02
4.00E-02,0
0,0
4.00E-02,-4.00E-02
0,4.00E-02
0,-4.00E-02
4.00E-02,0
0,4.00E-02
4.00E-02,0
4.00E-02,4.00E-02
0,0
4.00E-02,0
4.00E-02,0
4.00E-02,0
4.00E-02,-4.00E-02
0,-4.00E-02
4.00E-02,4.00E-02
0,0
4.00E-02,-4.00E-02
0,0
0,0
4.00E-02,4.00E-02
4.00E-02,-4.00E-02
4.00E-02,4.00E-02
4.00E-02,0
0,0
0,0
4.00E-02,-4.00E-02
0,0
4.00E-02,0
4.00E-02,0
4.00E-02,4.00E-02
0,0
4.00E-02,-4.00E-02
0,0
0,-8.00E-02
4.00E-02,4.00E-02
0,-4.00E-02
4.00E-02,0
0,0
4.00E-02,-4.00E-02
0,0
0,4.00E-02
4.00E-02,0
0,0
4.00E-02,0
0,4.00E-02
0,-4.00E-02
4.00E-02,-4.00E-02
0,0
4.00E-02,-8.00E-02
0,4.00E-02
4.00E-02,-4.00E-02
4.00E-02,0
0,4.00E-02
4.00E-02,0
0,0
4.00E-02,4.00E-02
0,0
0,-4.00E-02
4.00E-02,4.00E-02
0,0
4.00E-02,-4.00E-02
0,4.00E-02
-4.00E-02,-4.00E-02
4.00E-02,-4.00E-02
0,0
4.00E-02,-4.00E-02
0,4.00E-02
0,-4.00E-02
4.00E-02,4.00E-02
0,-4.00E-02
4.00E-02,4.00E-02
0,0
4.00E-02,-4.00E-02
0,8.00E-02
0,-4.00E-02
4.00E-02,-4.00E-02
4.00E-02,0
0,-4.00E-02
8.00E-02,4.00E-02
0,0
0,0
0,4.00E-02
4.00E-02,-4.00E-02
0,4.00E-02
4.00E-02,0
8.00E-02,4.00E-02
0,-4.00E-02
4.00E-02,-4.00E-02
4.00E-02,0
0,-4.00E-02
4.00E-02,0
4.00E-02,0
0,-4.00E-02
4.00E-02,4.00E-02
0,0
4.00E-02,0
0,4.00E-02
4.00E-02,-4.00E-02
0,0
4.00E-02,0
4.00E-02,4.00E-02
0,-4.00E-02
4.00E-02,-4.00E-02
0,4.00E-02
4.00E-02,-4.00E-02
4.00E-02,4.00E-02
0,0
4.00E-02,-8.00E-02
0,4.00E-02
0,-4.00E-02
4.00E-02,0
0,0
4.00E-02,0
0,-4.00E-02
4.00E-02,0
4.00E-02,0
0,0
4.00E-02,0
0,4.00E-02
4.00E-02,-4.00E-02
4.00E-02,4.00E-02
0,0
4.00E-02,-8.00E-02
0,4.00E-02
4.00E-02,0
4.00E-02,4.00E-02
0,0
4.00E-02,0
0,-4.00E-02
4.00E-02,4.00E-02
0,0
4.00E-02,-4.00E-02
4.00E-02,4.00E-02
0,0
8.00E-02,-4.00E-02
0,0
0,-4.00E-02
4.00E-02,0
4.00E-02,0
4.00E-02,0
0,4.00E-02
0,0
0,0
4.00E-02,-4.00E-02
0,4.00E-02
0,0
4.00E-02,0
4.00E-02,1.20E-01
